run_uid,block_id,protocol,pattern,density,concurrency,run_index,session_id,ts_start,ts_end,lat_p50,lat_p95,lat_p99,throughput_rps,payload_bytes_med,xproc_p95,xproc_med,error_rate,cpu_mean,cpu_p95,rss_mean_mb,rss_p95_mb,k6_iterations,notes
bal10r26,baseline-low-10-rest,rest,baseline,low,10,26,s3,0,0,14.5886,20.2046,22.3255,689.25,3063,0.012123,0.009698,0,40.27,45,401.14,417.59,41355,
bal10r27,baseline-low-10-rest,rest,baseline,low,10,27,s1,0,0,21.0286,29.1583,36.7649,473.99,2787,0.017495,0.013996,0,40.95,45,406.03,401.35,28439,
bal10r28,baseline-low-10-rest,rest,baseline,low,10,28,s1,0,0,13.3338,16.621,20.0475,757.92,2809,0.009973,0.007978,0,43.37,45,399.53,396.21,45475,
bal10r29,baseline-low-10-rest,rest,baseline,low,10,29,s2,0,0,11.5188,14.3935,16.5142,889.5,3661,0.008636,0.006909,0,48.72,45,394.14,403.16,53370,
bal10g00,baseline-low-10-graphql,graphql,baseline,low,10,0,s2,0,0,16.5892,22.6431,26.3128,581.33,3309,0.013586,0.010869,0,38.87,45,399.33,398.13,34880,
bal10g01,baseline-low-10-graphql,graphql,baseline,low,10,1,s1,0,0,14.9453,18.1,20.5422,639.22,3199,0.01086,0.008688,0,43.04,45,400.78,406.76,38353,
bal10g02,baseline-low-10-graphql,graphql,baseline,low,10,2,s1,0,0,15.75,21.6562,27.5083,605.94,2994,0.012994,0.010395,0,44.72,45,401.93,401.18,36356,
bal10g03,baseline-low-10-graphql,graphql,baseline,low,10,3,s1,0,0,12.7692,17.4516,19.3781,816.4,2401,0.010471,0.008377,0,42.78,45,402.27,399.45,48984,
bal10g04,baseline-low-10-graphql,graphql,baseline,low,10,4,s3,0,0,14.3306,19.4308,23.8707,717.28,2992,0.011658,0.009327,0,40.46,45,407.36,392.17,43036,
bal10g05,baseline-low-10-graphql,graphql,baseline,low,10,5,s2,0,0,14.9489,19.8508,22.8938,644.85,2397,0.011911,0.009528,0,40.98,45,408.64,397.33,38690,
bal10g06,baseline-low-10-graphql,graphql,baseline,low,10,6,s3,0,0,18.2244,23.0629,27.1195,558.91,2909,0.013838,0.01107,0,41.75,45,408.66,410.89,33534,
bal10g07,baseline-low-10-graphql,graphql,baseline,low,10,7,s3,0,0,16.883,23.1248,28.4555,610.34,2923,0.013875,0.0111,0,40.2,45,396.51,409.95,36620,
bal10g08,baseline-low-10-graphql,graphql,baseline,low,10,8,s2,0,0,12.6187,16.8959,21.494,763.32,3451,0.010138,0.00811,0,45.46,45,403.65,397.14,45799,
bal10g09,baseline-low-10-graphql,graphql,baseline,low,10,9,s1,0,0,15.4131,21.4516,27.0328,654.88,3259,0.012871,0.010297,0,37.9,45,394.93,405.16,39292,
bal10g10,baseline-low-10-graphql,graphql,baseline,low,10,10,s1,0,0,12.5321,15.2767,18.687,771.72,3445,0.009166,0.007333,0,33.13,45,401.52,405.36,46303,
bal10g11,baseline-low-10-graphql,graphql,baseline,low,10,11,s2,0,0,16.8066,21.8222,26.6213,620.66,3242,0.013093,0.010475,0,35.26,45,407.38,406.84,37239,
bal10g12,baseline-low-10-graphql,graphql,baseline,low,10,12,s3,0,0,18.1679,24.615,30.381,541.26,3113,0.014769,0.011815,0,40.81,45,395.68,404.26,32475,
bal10g13,baseline-low-10-graphql,graphql,baseline,low,10,13,s3,0,0,15.1775,18.6616,24.0217,654.78,2984,0.011197,0.008958,0,44.44,45,396.28,400.89,39286,
bal10g14,baseline-low-10-graphql,graphql,baseline,low,10,14,s3,0,0,16.1785,20.9654,24.64,648.18,3338,0.012579,0.010063,0,41.66,45,411.64,403.97,38890,
bal10g15,baseline-low-10-graphql,graphql,baseline,low,10,15,s3,0,0,10.8769,14.3319,17.7317,874.55,3501,0.008599,0.006879,0,35.19,45,393.74,396.99,52472,
bal10g16,baseline-low-10-graphql,graphql,baseline,low,10,16,s2,0,0,13.5221,17.0431,21.878,760.33,2521,0.010226,0.008181,0,40.16,45,397.64,407.3,45619,
bal10g17,baseline-low-10-graphql,graphql,baseline,low,10,17,s3,0,0,17.701,24.7783,30.555,573.42,3303,0.014867,0.011894,0,40.69,45,402.65,401.48,34405,
bal10g18,baseline-low-10-graphql,graphql,baseline,low,10,18,s3,0,0,15.1037,20.4709,23.3294,689.28,3217,0.012283,0.009826,0,39.65,45,404.15,395.03,41356,
bal10g19,baseline-low-10-graphql,graphql,baseline,low,10,19,s1,0,0,12.3531,15.4131,19.5728,773.67,3299,0.009248,0.007398,0,39.15,45,400.99,410.45,46420,
bal10g20,baseline-low-10-graphql,graphql,baseline,low,10,20,s2,0,0,19.8113,23.9327,27.2918,485.83,2994,0.01436,0.011488,0,40.28,45,395.81,402.03,29149,
bal10g21,baseline-low-10-graphql,graphql,baseline,low,10,21,s3,0,0,11.9505,14.802,17.0838,854.35,3649,0.008881,0.007105,0,35.85,45,401.96,399.8,51260,
bal10g22,baseline-low-10-graphql,graphql,baseline,low,10,22,s3,0,0,16.9916,23.3945,29.054,569.29,2812,0.014037,0.011229,0,36.79,45,396.73,407.14,34157,
bal10g23,baseline-low-10-graphql,graphql,baseline,low,10,23,s1,0,0,15.0776,19.8192,22.3764,692.82,2906,0.011892,0.009513,0,35.57,45,405.34,403.34,41569,
bal10g24,baseline-low-10-graphql,graphql,baseline,low,10,24,s1,0,0,19.0658,23.445,28.1732,519.47,3732,0.014067,0.011254,0,40.21,45,400.8,410.38,31167,
bal10g25,baseline-low-10-graphql,graphql,baseline,low,10,25,s1,0,0,13.3973,17.7139,21.7336,739.84,2729,0.010628,0.008503,0,35.23,45,389.64,399.41,44390,
bal10g26,baseline-low-10-graphql,graphql,baseline,low,10,26,s2,0,0,14.3638,18.4385,22.0308,677.09,2683,0.011063,0.00885,0,38.78,45,398.58,405.93,40625,
bal10g27,baseline-low-10-graphql,graphql,baseline,low,10,27,s2,0,0,17.4392,23.6735,28.6409,569.49,3032,0.014204,0.011363,0,47.79,45,401.12,412.17,34169,
bal10g28,baseline-low-10-graphql,graphql,baseline,low,10,28,s1,0,0,15.8591,21.9524,26.3588,631.83,2749,0.013171,0.010537,0,37.45,45,403.33,410.43,37909,
bal10g29,baseline-low-10-graphql,graphql,baseline,low,10,29,s1,0,0,16.6639,20.9319,24.4239,580.47,3366,0.012559,0.010047,0,34.51,45,398.32,395.05,34828,
bal50r00,baseline-low-50-rest,rest,baseline,low,50,0,s2,0,0,17.1913,21.9095,24.7736,2937.77,2459,0.013146,0.010517,0,58.37,67,412.1,407.17,176266,
bal50r01,baseline-low-50-rest,rest,baseline,low,50,1,s2,0,0,20.3441,27.2109,33.771,2430.15,3035,0.016327,0.013061,0,59.74,67,403.95,406.72,145808,
bal50r02,baseline-low-50-rest,rest,baseline,low,50,2,s1,0,0,25.3763,31.2935,39.6571,2066.72,2650,0.018776,0.015021,0,64.01,67,399.04,412.02,124003,
bal50r03,baseline-low-50-rest,rest,baseline,low,50,3,s3,0,0,20.7773,25.2653,31.6086,2390.54,3563,0.015159,0.012127,0,58.91,67,395.29,402.76,143432,
bal50r04,baseline-low-50-rest,rest,baseline,low,50,4,s3,0,0,24.4086,30.427,35.247,2046.45,3413,0.018256,0.014605,0,57.64,67,391.57,400.87,122787,
bal50r05,baseline-low-50-rest,rest,baseline,low,50,5,s2,0,0,23.5257,31.2852,38.6072,2181.21,3073,0.018771,0.015017,0,56.97,67,403.53,408.31,130872,
bal50r06,baseline-low-50-rest,rest,baseline,low,50,6,s2,0,0,24.1147,31.2651,39.1978,2146.41,2968,0.018759,0.015007,0,57.74,67,394.84,398.78,128784,
bal50r07,baseline-low-50-rest,rest,baseline,low,50,7,s3,0,0,19.1736,24.5366,31.4919,2641.88,2724,0.014722,0.011778,0,62.7,67,403.7,404.2,158512,
bal50r08,baseline-low-50-rest,rest,baseline,low,50,8,s2,0,0,20.0052,25.7995,29.9663,2523.97,2975,0.01548,0.012384,0,57.3,67,400.95,397.73,151438,
bal50r09,baseline-low-50-rest,rest,baseline,low,50,9,s1,0,0,28.6178,37.0744,46.4278,1817.63,2132,0.022245,0.017796,0,56.53,67,398.53,399.64,109057,
bal50r10,baseline-low-50-rest,rest,baseline,low,50,10,s2,0,0,25.5876,34.4532,40.931,1964.45,3084,0.020672,0.016538,0,56.33,67,401.25,414.11,117867,
bal50r11,baseline-low-50-rest,rest,baseline,low,50,11,s3,0,0,16.7132,20.1927,25.3513,2988.57,3292,0.012116,0.009692,0,60.72,67,391.13,407.58,179313,
bal50r12,baseline-low-50-rest,rest,baseline,low,50,12,s2,0,0,20.2784,24.6781,29.8875,2540.15,3194,0.014807,0.011846,0,61.34,67,391.57,407.69,152409,
bal50r13,baseline-low-50-rest,rest,baseline,low,50,13,s3,0,0,18.6779,24.9361,30.9869,2750.24,2709,0.014962,0.011969,0,56.15,67,403.57,406.21,165014,
bal50r14,baseline-low-50-rest,rest,baseline,low,50,14,s1,0,0,20.1459,26.6808,33.928,2358.92,3096,0.016008,0.012807,0,61.41,67,397.33,402.94,141535,
bal50r15,baseline-low-50-rest,rest,baseline,low,50,15,s3,0,0,28.7544,35.872,45.5774,1712.44,3917,0.021523,0.017219,0,58.78,67,390.32,403.45,102746,
bal50r16,baseline-low-50-rest,rest,baseline,low,50,16,s2,0,0,21.3702,29.4334,33.481,2242.57,3188,0.01766,0.014128,0,62.1,67,410.26,405.86,134554,
bal50r17,baseline-low-50-rest,rest,baseline,low,50,17,s3,0,0,21.1745,25.9888,31.5757,2478.83,2542,0.015593,0.012475,0,54.81,67,400.82,403.05,148729,
bal50r18,baseline-low-50-rest,rest,baseline,low,50,18,s2,0,0,31.3785,38.4975,45.1605,1524.48,3211,0.023098,0.018479,0,57.39,67,400.89,411.06,91468,
bal50r19,baseline-low-50-rest,rest,baseline,low,50,19,s1,0,0,21.2261,29.5434,36.9409,2365.21,2876,0.017726,0.014181,0,59.76,67,391.47,396.92,141912,
bal50r20,baseline-low-50-rest,rest,baseline,low,50,20,s1,0,0,24.5396,32.0464,40.0088,2056.01,3098,0.019228,0.015382,0,56.05,67,404.18,406.75,123360,
bal50r21,baseline-low-50-rest,rest,baseline,low,50,21,s1,0,0,34.5492,45.3388,57.0541,1488.29,3294,0.027203,0.021763,0,61.88,67,406.26,402.39,89297,
bal50r22,baseline-low-50-rest,rest,baseline,low,50,22,s1,0,0,20.8039,25.7352,31.2022,2307.71,2834,0.015441,0.012353,0,60.94,67,398.77,409.76,138462,
bal50r23,baseline-low-50-rest,rest,baseline,low,50,23,s3,0,0,15.0022,18.3117,20.2933,3248.22,2653,0.010987,0.00879,0,57.25,67,398.99,410.56,194893,
bal50r24,baseline-low-50-rest,rest,baseline,low,50,24,s2,0,0,21.5291,26.3154,30.9706,2220.38,2648,0.015789,0.012631,0,61.68,67,398.89,408.24,133222,
bal50r25,baseline-low-50-rest,rest,baseline,low,50,25,s1,0,0,22.4448,27.4368,34.9148,2116.58,2924,0.016462,0.01317,0,56.35,67,392.18,408.43,126994,
bal50r26,baseline-low-50-rest,rest,baseline,low,50,26,s3,0,0,21.1226,28.9008,33.2957,2325.11,2178,0.01734,0.013872,0,57.23,67,407.31,406.41,139506,
bal50r27,baseline-low-50-rest,rest,baseline,low,50,27,s2,0,0,25.8325,31.2499,37.2547,1976.5,3020,0.01875,0.015,0,61.65,67,399.06,406.39,118589,
bal50r28,baseline-low-50-rest,rest,baseline,low,50,28,s2,0,0,23.1496,28.6514,31.6958,2075.77,2190,0.017191,0.013753,0,63.56,67,394.9,395.7,124546,
bal50r29,baseline-low-50-rest,rest,baseline,low,50,29,s1,0,0,22.9047,31.3949,38.4218,2109.34,2866,0.018837,0.01507,0,57.32,67,400.06,403.5,126560,
bal50g00,baseline-low-50-graphql,graphql,baseline,low,50,0,s1,0,0,20.2421,26.7334,34.6714,2435.9,2698,0.01604,0.012832,0,61.92,67,402.21,411.25,146153,
bal50g01,baseline-low-50-graphql,graphql,baseline,low,50,1,s1,0,0,27.2443,34.4239,38.404,1748.96,2387,0.020654,0.016523,0,60.25,67,397.22,398.6,104937,
bal50g02,baseline-low-50-graphql,graphql,baseline,low,50,2,s1,0,0,32.8911,44.3279,51.5725,1579.46,3516,0.026597,0.021277,0,60.61,67,394.53,406.98,94767,
bal50g03,baseline-low-50-graphql,graphql,baseline,low,50,3,s1,0,0,24.5656,34.3514,37.8141,1936.98,3677,0.020611,0.016489,0,62.68,67,400.06,406.24,116218,
bal50g04,baseline-low-50-graphql,graphql,baseline,low,50,4,s2,0,0,24.4942,32.0197,39.2036,1995.0,2761,0.019212,0.015369,0,61.53,67,401.96,396.07,119700,
bal50g05,baseline-low-50-graphql,graphql,baseline,low,50,5,s2,0,0,23.7693,31.355,35.9409,2182.21,3044,0.018813,0.01505,0,57.46,67,394.58,406.72,130932,
bal50g06,baseline-low-50-graphql,graphql,baseline,low,50,6,s1,0,0,26.0169,34.9968,42.4646,1971.49,2582,0.020998,0.016798,0,60.65,67,398.99,402.11,118289,
bal50g07,baseline-low-50-graphql,graphql,baseline,low,50,7,s2,0,0,25.4317,32.593,36.4656,2042.66,2885,0.019556,0.015645,0,60.73,67,401.37,399.3,122559,
bal50g08,baseline-low-50-graphql,graphql,baseline,low,50,8,s2,0,0,22.2836,27.6297,35.1393,2336.37,2611,0.016578,0.013262,0,54.41,67,400.15,405.15,140182,
bal50g09,baseline-low-50-graphql,graphql,baseline,low,50,9,s2,0,0,23.791,32.0784,39.977,2161.11,3592,0.019247,0.015398,0,56.62,67,398.1,401.24,129666,
bal50g10,baseline-low-50-graphql,graphql,baseline,low,50,10,s1,0,0,20.6868,25.2373,28.7927,2475.88,2909,0.015142,0.012114,0,60.11,67,408.77,404.53,148552,
bal50g11,baseline-low-50-graphql,graphql,baseline,low,50,11,s3,0,0,24.8801,31.4441,38.4168,2025.92,2775,0.018866,0.015093,0,62.91,67,398.19,402.55,121555,
bal50g12,baseline-low-50-graphql,graphql,baseline,low,50,12,s1,0,0,28.6177,36.5002,43.0272,1682.72,3151,0.0219,0.01752,0,54.19,67,403.33,400.09,100963,
bal50g13,baseline-low-50-graphql,graphql,baseline,low,50,13,s3,0,0,18.7438,25.3173,32.3101,2608.36,3329,0.01519,0.012152,0,55.97,67,397.97,402.08,156501,
bal50g14,baseline-low-50-graphql,graphql,baseline,low,50,14,s3,0,0,24.0971,29.1342,34.8532,2170.25,3052,0.017481,0.013984,0,54.12,67,399.94,403.9,130214,
bal50g15,baseline-low-50-graphql,graphql,baseline,low,50,15,s2,0,0,23.8518,32.8044,42.0004,2197.85,2630,0.019683,0.015746,0,56.48,67,394.53,406.44,131871,
bal50g16,baseline-low-50-graphql,graphql,baseline,low,50,16,s2,0,0,30.4038,39.8466,44.6041,1701.4,2730,0.023908,0.019126,0,58.77,67,400.19,403.44,102083,
bal50g17,baseline-low-50-graphql,graphql,baseline,low,50,17,s2,0,0,29.3519,38.6519,48.2,1668.72,2477,0.023191,0.018553,0,61.17,67,400.51,404.26,100123,
bal50g18,baseline-low-50-graphql,graphql,baseline,low,50,18,s2,0,0,32.342,44.9006,50.4742,1607.22,2570,0.02694,0.021552,0,56.77,67,396.24,406.99,96433,
bal50g19,baseline-low-50-graphql,graphql,baseline,low,50,19,s1,0,0,26.8558,33.5443,41.6636,1927.21,3547,0.020127,0.016101,0,61.59,67,406.82,395.6,115632,
bal50g20,baseline-low-50-graphql,graphql,baseline,low,50,20,s1,0,0,22.9485,31.8526,40.6948,2239.22,2970,0.019112,0.015289,0,59.49,67,402.07,403.84,134353,
bal50g21,baseline-low-50-graphql,graphql,baseline,low,50,21,s2,0,0,24.6334,30.1792,38.9448,2026.11,3623,0.018108,0.014486,0,60.93,67,402.95,399.25,121566,
bal50g22,baseline-low-50-graphql,graphql,baseline,low,50,22,s3,0,0,23.9187,28.8462,32.417,2177.56,3349,0.017308,0.013846,0,63.6,67,401.45,403.22,130653,
bal50g23,baseline-low-50-graphql,graphql,baseline,low,50,23,s2,0,0,25.8143,36.0812,45.5944,1983.71,2409,0.021649,0.017319,0,61.36,67,402.39,399.19,119022,
bal50g24,baseline-low-50-graphql,graphql,baseline,low,50,24,s2,0,0,21.3766,27.1158,34.1359,2367.71,3029,0.01627,0.013016,0,64.85,67,400.66,399.99,142062,
bal50g25,baseline-low-50-graphql,graphql,baseline,low,50,25,s3,0,0,23.8248,28.6007,37.143,2052.67,2762,0.01716,0.013728,0,62.77,67,400.17,403.59,123160,
bal50g26,baseline-low-50-graphql,graphql,baseline,low,50,26,s3,0,0,23.84,30.4814,39.1495,2059.39,2655,0.018289,0.014631,0,58.76,67,392.92,407.22,123563,
bal50g27,baseline-low-50-graphql,graphql,baseline,low,50,27,s2,0,0,26.4137,33.5069,38.0453,1926.67,3164,0.020104,0.016083,0,61.9,67,392.98,406.66,115600,
bal50g28,baseline-low-50-graphql,graphql,baseline,low,50,28,s3,0,0,23.0117,30.6516,35.5711,2270.04,3675,0.018391,0.014713,0,59.67,67,401.76,408.83,136202,
bal50g29,baseline-low-50-graphql,graphql,baseline,low,50,29,s3,0,0,24.8359,34.3087,40.6167,2042.83,2767,0.020585,0.016468,0,58.76,67,403.17,405.01,122569,
bal100r00,baseline-low-100-rest,rest,baseline,low,100,0,s3,0,0,35.084,46.7845,57.5965,2896.74,3136,0.028071,0.022457,0,84.33,89,397.5,396.72,173804,
bal100r01,baseline-low-100-rest,rest,baseline,low,100,1,s1,0,0,27.3413,36.4616,41.0511,3575.23,2878,0.021877,0.017502,0,81.86,89,401.7,406.58,214513,
bal100r02,baseline-low-100-rest,rest,baseline,low,100,2,s3,0,0,35.5264,46.4833,57.6523,2942.3,2215,0.02789,0.022312,0,79.99,89,405.23,410.94,176537,
bal100r03,baseline-low-100-rest,rest,baseline,low,100,3,s1,0,0,34.2267,45.7641,50.5531,2892.49,2999,0.027458,0.021967,0,82.96,89,397.21,409.03,173549,
bal100r04,baseline-low-100-rest,rest,baseline,low,100,4,s3,0,0,37.2794,47.1376,56.9851,2679.72,3036,0.028283,0.022626,0,77.42,89,397.31,407.71,160783,
bal100r05,baseline-low-100-rest,rest,baseline,low,100,5,s2,0,0,27.785,38.7778,48.4334,3694.32,3039,0.023267,0.018613,0,87.34,89,393.11,412.36,221659,
bal100r06,baseline-low-100-rest,rest,baseline,low,100,6,s1,0,0,33.9022,42.6443,49.1076,2975.02,2944,0.025587,0.020469,0,78.63,89,405.66,401.78,178501,
bal100r07,baseline-low-100-rest,rest,baseline,low,100,7,s1,0,0,32.644,41.3674,52.1023,3167.25,2972,0.02482,0.019856,0,79.41,89,394.43,403.85,190034,
bal100r08,baseline-low-100-rest,rest,baseline,low,100,8,s3,0,0,24.7742,30.6834,34.6965,4005.29,4011,0.01841,0.014728,0,84.31,89,401.22,404.24,240317,
bal100r09,baseline-low-100-rest,rest,baseline,low,100,9,s3,0,0,35.6723,44.7376,57.1285,2849.12,2496,0.026843,0.021474,0,75.37,89,403.27,403.62,170946,
bal100r10,baseline-low-100-rest,rest,baseline,low,100,10,s1,0,0,29.6426,38.5399,47.6828,3425.04,2763,0.023124,0.018499,0,79.8,89,407.9,407.47,205502,
bal100r11,baseline-low-100-rest,rest,baseline,low,100,11,s3,0,0,39.3213,49.689,59.2413,2524.02,3215,0.029813,0.023851,0,81.56,89,394.51,408.5,151441,
bal100r12,baseline-low-100-rest,rest,baseline,low,100,12,s3,0,0,25.8539,35.2711,41.7374,3798.87,3535,0.021163,0.01693,0,76.54,89,398.8,405.51,227931,
bal100r13,baseline-low-100-rest,rest,baseline,low,100,13,s3,0,0,33.4725,40.8104,46.1445,2997.63,2644,0.024486,0.019589,0,81.35,89,400.02,401.25,179857,
bal100r14,baseline-low-100-rest,rest,baseline,low,100,14,s1,0,0,31.6285,38.1746,46.972,3263.87,2964,0.022905,0.018324,0,73.71,89,395.53,403.68,195832,
bal100r15,baseline-low-100-rest,rest,baseline,low,100,15,s1,0,0,29.1675,35.5421,41.9004,3510.01,3022,0.021325,0.01706,0,80.11,89,399.56,405.02,210600,
bal100r16,baseline-low-100-rest,rest,baseline,low,100,16,s3,0,0,44.9653,57.2669,65.5041,2159.08,3005,0.03436,0.027488,0,81.42,89,398.08,410.1,129545,
bal100r17,baseline-low-100-rest,rest,baseline,low,100,17,s1,0,0,39.7235,50.8342,65.9867,2426.07,2797,0.030501,0.0244,0,82.09,89,400.55,405.01,145564,
bal100r18,baseline-low-100-rest,rest,baseline,low,100,18,s3,0,0,43.0189,59.1325,67.32,2259.66,2869,0.03548,0.028384,0,75.48,89,395.07,400.7,135579,
bal100r19,baseline-low-100-rest,rest,baseline,low,100,19,s1,0,0,51.3592,68.9295,76.1889,1859.35,2586,0.041358,0.033086,0,74.28,89,399.42,400.01,111560,
bal100r20,baseline-low-100-rest,rest,baseline,low,100,20,s1,0,0,32.4998,44.3727,53.7906,3041.67,3131,0.026624,0.021299,0,76.04,89,404.27,401.0,182500,
bal100r21,baseline-low-100-rest,rest,baseline,low,100,21,s2,0,0,36.9817,44.3859,50.7089,2810.72,3131,0.026632,0.021305,0,81.84,89,399.3,412.66,168643,
bal100r22,baseline-low-100-rest,rest,baseline,low,100,22,s2,0,0,39.5616,54.8763,61.0168,2455.71,3705,0.032926,0.026341,0,77.22,89,407.42,399.71,147342,
bal100r23,baseline-low-100-rest,rest,baseline,low,100,23,s1,0,0,26.0092,33.41,37.928,3704.34,2765,0.020046,0.016037,0,77.98,89,396.44,400.6,222260,
bal100r24,baseline-low-100-rest,rest,baseline,low,100,24,s1,0,0,49.7595,62.3467,76.1938,1950.46,2933,0.037408,0.029926,0,72.04,89,393.11,395.95,117027,
bal100r25,baseline-low-100-rest,rest,baseline,low,100,25,s3,0,0,22.0111,26.9502,34.2397,4658.68,3464,0.01617,0.012936,0,81.23,89,403.91,400.5,279521,
bal100r26,baseline-low-100-rest,rest,baseline,low,100,26,s3,0,0,36.2638,45.8659,59.1546,2778.77,3203,0.02752,0.022016,0,76.63,89,394.08,405.43,166726,
bal100r27,baseline-low-100-rest,rest,baseline,low,100,27,s1,0,0,35.0007,46.0942,51.8842,2805.96,3222,0.027657,0.022125,0,84.66,89,406.38,399.99,168357,
bal100r28,baseline-low-100-rest,rest,baseline,low,100,28,s3,0,0,44.6812,57.2694,67.9389,2267.88,2851,0.034362,0.027489,0,79.49,89,392.2,409.84,136072,
bal100r29,baseline-low-100-rest,rest,baseline,low,100,29,s3,0,0,43.3597,56.0365,69.023,2318.84,2773,0.033622,0.026898,0,82.32,89,399.81,413.7,139130,
bal100g00,baseline-low-100-graphql,graphql,baseline,low,100,0,s3,0,0,33.8871,45.5654,53.6678,2866.74,2869,0.027339,0.021871,0,79.65,89,395.82,408.31,172004,
bal100g01,baseline-low-100-graphql,graphql,baseline,low,100,1,s3,0,0,41.5493,55.418,61.5426,2514.01,2895,0.033251,0.026601,0,81.12,89,396.88,405.12,150840,
